description,url
冒泡 —— “我还活着，继续潜水作业中”   （用于低调现身、报平安，带点幽默和自嘲）,https://emoji-src.mcunc.net/e210405a-dd5d-4935-8e91-c14d6e21969b.jpg
在吗？（戴着耳机的蜜蜂，像在等回复）,https://emoji-src.mcunc.net/05190f01-aef1-4c56-a123-80bb0deda8ef.jpg
吃粽子，满足～,https://emoji-src.mcunc.net/b617e7de-47e9-414d-bb6b-46ad7658694c.jpg
？（疑问/困惑）,https://emoji-src.mcunc.net/67a62e9c-6ad5-42dd-953e-3bc83c94d01a.jpg
？（举着可乐和百事，一脸懵/选择困难）,https://emoji-src.mcunc.net/8ff57115-4934-4d7d-968d-087fe60e704a.jpg
贴贴 —— 两只萌犬雪地依偎，表达亲昵、撒娇或求抱抱的可爱互动。,https://emoji-src.mcunc.net/b30f4db0-0ca5-4a39-98f2-055fb6bb76e3.jpg
震惊 / 崩溃 / 无语,https://emoji-src.mcunc.net/14de2885-22a6-498d-ae07-e56d2405e9d2.jpg
可爱歪头问“在吗？”,https://emoji-src.mcunc.net/6ec6154a-530d-4e59-a94f-a2b0b2f73adf.jpg
惊恐 / 崩溃 / 啊啊啊,https://emoji-src.mcunc.net/9d7fca0d-d15d-4316-b52b-5bfc4de19ace.jpg
舔舌卖萌,https://emoji-src.mcunc.net/08e38377-cfbc-42b7-90b9-35253577a2af.jpg
思考中 / 疑惑 / 在想什么,https://emoji-src.mcunc.net/8e45608d-69dc-49e5-b874-4409f25fd9ea.jpg
生气，咬牙切齿,https://emoji-src.mcunc.net/ef4376fa-c2a0-4520-9503-1932e095dce5.jpg
你（带点傲娇/撒娇语气）,https://emoji-src.mcunc.net/41dd0748-cf60-4265-b026-a1af7d16094d.jpg
害羞+紧张+暗恋/表白   （举着“爱”字牌，脸红冒汗，眼神躲闪）,https://emoji-src.mcunc.net/827f4923-1e4e-4228-a141-2168bc7941c6.jpg
大！（兴奋/得意地举牌）,https://emoji-src.mcunc.net/37ba6853-7904-44a8-8151-632f745802cc.jpg
